text,label
Government launches new education policy.,Real
Aliens have landed and taken over the White House!,Fake
Scientists discover a new vaccine for COVID-19.,Real
Breaking: Celebrity fakes their death for publicity stunt.,Fake
NASA confirms the existence of water on Mars.,Real
Bill Gates secretly controlling the world's population with vaccines.,Fake
New research shows climate change is accelerating at an alarming rate.,Real
Study proves that eating chocolate daily increases lifespan.,Fake
Stock markets reach an all-time high after economic reforms.,Real
Government announces free healthcare for all citizens.,Real
Fake news websites manipulate public opinion through social media.,Fake
World Health Organization releases new guidelines for pandemic preparedness.,Real
